,Task,Title
412,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Computer Systems Analysts
413,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",Computer Systems Analysts
424,"Develop or deliver training programs for health information technology, creating operating manuals as needed.",Health Informatics Specialists
430,Analyze problems to develop solutions involving computer hardware and software.,Computer and Information Research Scientists
432,Assign or schedule tasks to meet work priorities and goals.,Computer and Information Research Scientists
434,Evaluate project plans and proposals to assess feasibility issues.,Computer and Information Research Scientists
437,Configure security settings or access permissions for groups or individuals.,Computer Network Support Specialists
438,Analyze and report computer network security breaches or attempted breaches.,Computer Network Support Specialists
442,Provide telephone support related to networking or connectivity issues.,Computer Network Support Specialists
443,"Evaluate local area network (LAN) or wide area network (WAN) performance data to ensure sufficient availability or speed, to identify network problems, or for disaster recovery purposes.",Computer Network Support Specialists
444,"Analyze network data to determine network usage, disk space availability, or server function.",Computer Network Support Specialists
450,Document help desk requests and resolutions.,Computer Network Support Specialists
454,Oversee the daily performance of computer systems.,Computer User Support Specialists
455,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",Computer User Support Specialists
458,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",Computer User Support Specialists
463,Develop and implement solutions for network problems.,Computer Network Architects
465,Estimate time and materials needed to complete projects.,Computer Network Architects
466,"Maintain networks by performing activities such as file addition, deletion, or backup.",Computer Network Architects
480,Review procedures in database management system manuals to make changes to database.,Database Administrators
481,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",Database Administrators
487,"Develop or maintain archived procedures, procedural codes, or queries for applications.",Database Architects
488,Identify and correct deviations from database development standards.,Database Architects
492,"Develop and implement data extraction procedures from other systems, such as administration, billing, or claims.",Data Warehousing Specialists
499,Prepare functional or technical documentation for data warehouses.,Data Warehousing Specialists
500,"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",Network and Computer Systems Administrators
504,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,Network and Computer Systems Administrators
506,Analyze equipment performance records to determine the need for repair or replacement.,Network and Computer Systems Administrators
509,"Perform routine network startup and shutdown procedures, and maintain control records.",Network and Computer Systems Administrators
511,"Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",Network and Computer Systems Administrators
512,"Implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",Network and Computer Systems Administrators
513,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Computer Programmers
514,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Computer Programmers
517,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Computer Programmers
518,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Computer Programmers
519,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,Computer Programmers
521,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",Computer Programmers
526,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",Software Quality Assurance Analysts and Testers
528,Document test procedures to ensure replicability and compliance with standards.,Software Quality Assurance Analysts and Testers
531,Test system modifications to prepare for implementation.,Software Quality Assurance Analysts and Testers
532,Create or maintain databases of known test defects.,Software Quality Assurance Analysts and Testers
533,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",Software Quality Assurance Analysts and Testers
543,Write supporting code for Web applications or Web sites.,Web Developers
544,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Web Developers
545,Back up files from Web sites to local directories for instant recovery in case of problems.,Web Developers
548,Perform or direct Web site updates.,Web Developers
554,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",Web Developers
555,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,Web Developers
556,Balance and adjust gameplay experiences to ensure the critical and commercial success of the product.,Video Game Designers
559,"Solicit, obtain, and integrate feedback from design and technical staff into original game design.",Video Game Designers
567,"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas.",Video Game Designers
572,"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",Web Administrators
576,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",Web Administrators
577,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",Web Administrators
579,"Review or update Web page content or links in a timely manner, using appropriate tools.",Web Administrators
584,"Collaborate with Web developers to create and operate internal and external Web sites, or to manage projects, such as e-marketing campaigns.",Web Administrators
586,Develop testing routines and procedures.,Web Administrators
591,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements.",Geographic Information Systems Technologists and Technicians
592,"Enter data into Geographic Information Systems (GIS) databases, using techniques such as coordinate geometry, keyboard entry of tabular data, manual digitizing of maps, scanning or automatic conversion to vectors, or conversion of other sources of digital data.",Geographic Information Systems Technologists and Technicians
595,Design or coordinate the development of integrated Geographic Information Systems (GIS) spatial or non-spatial databases.,Geographic Information Systems Technologists and Technicians
597,Select cartographic elements needed for effective presentation of information.,Geographic Information Systems Technologists and Technicians
606,Monitor regulatory activity to maintain compliance with records and document management laws.,Document Management Specialists
609,Operate data capture technology to import digitized documents into document management system.,Document Management Specialists
613,"Identify system data, hardware, or software components required to meet user needs.",Computer Systems Engineers/Architects
615,"Provide advice on project costs, design concepts, or design changes.",Computer Systems Engineers/Architects
619,Monitor system operation to detect potential problems.,Computer Systems Engineers/Architects
620,Design and conduct hardware or software tests.,Computer Systems Engineers/Architects
625,"Initiate, review, or approve modifications to project plans.",Information Technology Project Managers
629,Develop and manage work breakdown structure (WBS) of information technology projects.,Information Technology Project Managers
631,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematicians
635,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,Mathematicians
636,Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,Statisticians
637,"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Statisticians
640,"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",Statisticians
641,"Process large amounts of data for statistical modeling and graphic analysis, using computers.",Statisticians
642,Prepare and structure data warehouses for storing data.,Statisticians
645,Prepare tables and graphs to present clinical data or results.,Biostatisticians
646,Write program code to analyze data with statistical analysis software.,Biostatisticians
647,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,Biostatisticians
650,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Business Intelligence Analysts
651,"Maintain library of model documents, templates, or other reusable knowledge assets.",Business Intelligence Analysts
652,Manage timely flow of business intelligence information to users.,Business Intelligence Analysts
653,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",Business Intelligence Analysts
654,"Analyze competitive market strategies through analysis of related product, market, or share trends.",Business Intelligence Analysts
655,"Identify or monitor current and potential customers, using business intelligence tools.",Business Intelligence Analysts
656,"Disseminate information regarding tools, reports, or metadata enhancements.",Business Intelligence Analysts
657,"Process clinical data, including receipt, entry, verification, or filing of information.",Clinical Data Managers
658,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",Clinical Data Managers
659,Monitor work productivity or quality to ensure compliance with standard operating procedures.,Clinical Data Managers
660,"Prepare data analysis listings and activity, performance, or progress reports.",Clinical Data Managers
661,Analyze clinical data using appropriate statistical tools.,Clinical Data Managers
662,Develop technical specifications for data management programming and communicate needs to information technology staff.,Clinical Data Managers
663,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Clinical Data Managers
664,"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",Bioinformatics Technicians
665,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",Bioinformatics Technicians
666,Maintain awareness of new and emerging computational methods and technologies.,Bioinformatics Technicians
667,Conduct quality analyses of data inputs and resulting analyses or predictions.,Bioinformatics Technicians
668,"Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases.",Bioinformatics Technicians
669,Design or implement web-based tools for querying large-scale biological databases.,Bioinformatics Technicians
670,"Monitor database performance and perform any necessary maintenance, upgrades, or repairs.",Bioinformatics Technicians
673,Develop final construction plans that include aesthetic representations of the structure or details for its construction.,"Architects, Except Landscape and Naval"
674,"Prepare scale drawings or architectural designs, using computer-aided design or other tools.","Architects, Except Landscape and Naval"
675,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.","Architects, Except Landscape and Naval"
676,Integrate engineering elements into unified architectural designs.,"Architects, Except Landscape and Naval"
677,Plan layouts of structural architectural projects.,"Architects, Except Landscape and Naval"
678,Prepare contract documents for building contractors.,"Architects, Except Landscape and Naval"
679,"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.","Architects, Except Landscape and Naval"
680,"Create three-dimensional or interactive representations of designs, using computer-assisted design software.","Architects, Except Landscape and Naval"
681,Gather information related to projects' environmental sustainability or operational efficiency.,"Architects, Except Landscape and Naval"
692,"Prepare, or supervise preparation of, all data, charts, plots, maps, records, and documents related to surveys.",Surveyors
693,"Prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify, and assume liability for work performed.",Surveyors
694,"Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents.",Surveyors
695,"Search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed.",Surveyors
696,"Coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects.",Surveyors
697,"Calculate heights, depths, relative positions, property lines, and other characteristics of terrain.",Surveyors
698,"Record the results of surveys, including the shape, contour, location, elevation, and dimensions of land or land features.",Surveyors
699,"Compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features.",Surveyors
700,Analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.,Surveyors
714,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",Aerospace Engineers
715,"Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.",Aerospace Engineers
717,Maintain records of performance reports for future reference.,Aerospace Engineers
726,"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",Civil Engineers
737,"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation.",Computer Hardware Engineers
739,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Computer Hardware Engineers
745,"Perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications.",Electrical Engineers
795,"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.",Mechanical Engineers
798,"Estimate costs or submit bids for engineering, construction, or extraction projects.",Mechanical Engineers
799,Recommend the use of utility or energy services that minimize carbon footprints.,Mechanical Engineers
823,"Develop plans for oil and gas field drilling, and for product recovery and treatment.",Petroleum Engineers
824,Interpret drilling and testing information for personnel.,Petroleum Engineers
827,Assign work to staff to obtain maximum utilization of personnel.,Petroleum Engineers
853,"Review or approve designs, calculations, or cost estimates.",Robotics Engineers
858,Conduct research on robotic technology to create new robotic systems or system capabilities.,Robotics Engineers
859,"Conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions.",Robotics Engineers
876,"Produce drawings, using computer-assisted drafting systems (CAD) or drafting machines, or by hand, using compasses, dividers, protractors, triangles, and other drafting devices.",Architectural and Civil Drafters
878,"Coordinate structural, electrical, and mechanical designs and determine a method of presentation to graphically represent building plans.",Architectural and Civil Drafters
879,"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",Architectural and Civil Drafters
880,"Draw maps, diagrams, and profiles, using cross-sections and surveys, to represent elevations, topographical contours, subsurface formations, and structures.",Architectural and Civil Drafters
882,"Determine the order of work and method of presentation, such as orthographic or isometric drawing.",Architectural and Civil Drafters
883,"Draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data.",Architectural and Civil Drafters
885,Check dimensions of materials to be used and assign numbers to lists of materials.,Architectural and Civil Drafters
886,"Determine procedures and instructions to be followed, according to design specifications and quantity of required materials.",Architectural and Civil Drafters
887,Calculate excavation tonnage and prepare graphs and fill-hauling diagrams for use in earth-moving operations.,Architectural and Civil Drafters
924,"Review existing electrical engineering criteria to identify necessary revisions, deletions, or amendments to outdated material.",Electrical and Electronic Engineering Technologists and Technicians
925,Maintain system logs or manuals to document testing or operation of equipment.,Electrical and Electronic Engineering Technologists and Technicians
927,"Compile and maintain records documenting engineering schematics, installed equipment, installation or operational problems, resources used, repairs, or corrective action performed.",Electrical and Electronic Engineering Technologists and Technicians
928,"Integrate software or hardware components, using computer, microprocessor, or control architecture.",Electrical and Electronic Engineering Technologists and Technicians
929,Procure parts and maintain inventory and related documentation.,Electrical and Electronic Engineering Technologists and Technicians
930,"Research equipment or component needs, sources, competitive prices, delivery times, or ongoing operational costs.",Electrical and Electronic Engineering Technologists and Technicians
946,"Obtain product information, identify vendors or suppliers, or order materials or equipment to maintain inventory.",Environmental Engineering Technologists and Technicians
950,"Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation.",Mechanical Engineering Technologists and Technicians
954,"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",Mechanical Engineering Technologists and Technicians
958,"Prepare layouts of machinery, tools, plants, or equipment.",Mechanical Engineering Technologists and Technicians
974,"Produce or update overlay maps to show information boundaries, water locations, or topographic features on various base maps or at different scales.",Surveying and Mapping Technicians
975,Identify and compile database information to create requested maps.,Surveying and Mapping Technicians
976,"Operate and manage land-information computer systems, performing tasks such as storing data, making inquiries, and producing plots and reports.",Surveying and Mapping Technicians
977,Compare survey computations with applicable standards to determine adequacy of data.,Surveying and Mapping Technicians
978,"Analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data.",Surveying and Mapping Technicians
979,"Research and combine existing property information to describe property boundaries in relation to adjacent properties, taking into account parcel splits, combinations, or land boundary adjustments.",Surveying and Mapping Technicians
980,"Calculate latitudes, longitudes, angles, areas, or other information for mapmaking, using survey field notes or reference tables.",Surveying and Mapping Technicians
984,Develop new software applications or customize existing applications to meet specific scientific project needs.,Bioinformatics Scientists
985,Create novel computational approaches and analytical tools as required by research goals.,Bioinformatics Scientists
987,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",Bioinformatics Scientists
989,Create or modify web-based bioinformatics tools.,Bioinformatics Scientists
990,Instruct others in the selection and use of bioinformatics tools.,Bioinformatics Scientists
991,Maintain accurate laboratory records and data.,Molecular and Cellular Biologists
992,"Prepare or review reports, manuscripts, or meeting presentations.",Molecular and Cellular Biologists
993,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,Molecular and Cellular Biologists
994,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,Molecular and Cellular Biologists
995,Evaluate new technologies to enhance or complement current research.,Molecular and Cellular Biologists
1021,"Analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS).",Remote Sensing Scientists and Technologists
1022,Process aerial or satellite imagery to create products such as land cover maps.,Remote Sensing Scientists and Technologists
1023,"Design or implement strategies for collection, analysis, or display of geographic data.",Remote Sensing Scientists and Technologists
1024,Organize and maintain geospatial data and associated documentation.,Remote Sensing Scientists and Technologists
1027,"Review, classify, and record survey data in preparation for computer analysis.",Survey Researchers
1029,"Produce documentation of the questionnaire development process, data collection methods, sampling designs, and decisions related to sample statistical weighting.",Survey Researchers
1030,"Determine and specify details of survey projects, including sources of information, procedures to be used, and the design of survey instruments and materials.",Survey Researchers
1032,Conduct research to gather information about survey topics.,Survey Researchers
1033,"Analyze data from surveys, old records, or case studies, using statistical software.",Survey Researchers
1034,Direct updates and changes in survey implementation and methods.,Survey Researchers
1035,Write training manuals to be used by survey interviewers.,Survey Researchers
1036,Write proposals to win new projects.,Survey Researchers
1037,"Design, promote, or administer government plans or policies affecting land use, zoning, public utilities, community facilities, housing, or transportation.",Urban and Regional Planners
1038,"Create, prepare, or requisition graphic or narrative reports on land use data, including land area maps overlaid with geographic variables, such as population density.",Urban and Regional Planners
1039,Evaluate proposals for infrastructure projects or other development for environmental impact or sustainability.,Urban and Regional Planners
1040,"Keep informed about economic or legal issues involved in zoning codes, building codes, or environmental regulations.",Urban and Regional Planners
1043,Review and evaluate environmental impact reports pertaining to private or public planning projects or programs.,Urban and Regional Planners
1044,Investigate property availability for purposes of development.,Urban and Regional Planners
1045,"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",Geographers
1046,"Analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",Geographers
1047,Write and present reports of research findings.,Geographers
1050,"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras.",Geographers
1051,"Recommend transportation system improvements or projects, based on economic, population, land-use, or traffic projections.",Transportation Planners
1052,"Interpret data from traffic modeling software, geographic information systems, or associated databases.",Transportation Planners
1053,Prepare reports or recommendations on transportation planning.,Transportation Planners
1054,"Design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas.",Transportation Planners
1055,Evaluate transportation project needs or costs.,Transportation Planners
1056,Prepare necessary documents to obtain planned project approvals or permits.,Transportation Planners
1057,Prepare or review engineering studies or specifications.,Transportation Planners
1058,"Review development plans for transportation system effects, infrastructure requirements, or compliance with applicable transportation regulations.",Transportation Planners
1059,Document and maintain records of precision agriculture information.,Precision Agriculture Technicians
1064,"Draw or read maps, such as soil, contour, or plat maps.",Precision Agriculture Technicians
1065,"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history.",Precision Agriculture Technicians
1066,Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.,Precision Agriculture Technicians
1073,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.,Social Science Research Assistants
1074,"Perform descriptive and multivariate statistical analyses of data, using computer software.",Social Science Research Assistants
1075,"Verify the accuracy and validity of data entered in databases, correcting any errors.",Social Science Research Assistants
1076,"Prepare, manipulate, and manage extensive databases.",Social Science Research Assistants
1077,Perform data entry and other clerical work as required for project completion.,Social Science Research Assistants
1078,Conduct internet-based and library research.,Social Science Research Assistants
1080,Edit and submit protocols and other required research documentation.,Social Science Research Assistants
1081,Code data in preparation for computer entry.,Social Science Research Assistants
1082,Track laboratory supplies and expenses such as participant reimbursement.,Social Science Research Assistants
1083,"Interpret test results, compare them to established specifications and control limits, and make recommendations on appropriateness of data for release.",Quality Control Analysts
1084,"Complete documentation needed to support testing procedures, including data capture forms, equipment logbooks, or inventory forms.",Quality Control Analysts
1088,"Monitor testing procedures to ensure that all tests are performed according to established item specifications, standard test methods, or protocols.",Quality Control Analysts
1089,Supply quality control data necessary for regulatory submissions.,Quality Control Analysts
1091,Review data from contract laboratories to ensure accuracy and regulatory compliance.,Quality Control Analysts
1093,Integrate remotely sensed data with other geospatial data.,Remote Sensing Technicians
1095,"Manipulate raw data to enhance interpretation, either on the ground or during remote sensing flights.",Remote Sensing Technicians
1097,"Prepare documentation or presentations, including charts, photos, or graphs.",Remote Sensing Technicians
1098,Correct raw data for errors due to factors such as skew or atmospheric variation.,Remote Sensing Technicians
1099,Develop or maintain geospatial information databases.,Remote Sensing Technicians
1100,"Evaluate remote sensing project requirements to determine the types of equipment or computer software necessary to meet project requirements, such as specific image types or output resolutions.",Remote Sensing Technicians
1101,"Prepare briefs, legal memoranda, or statements of issues involved in cases, including appropriate suggestions or recommendations.",Judicial Law Clerks
1102,"Research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.",Judicial Law Clerks
1103,"Draft or proofread judicial opinions, decisions, or citations.",Judicial Law Clerks
1104,"Review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.",Judicial Law Clerks
1105,Review dockets of pending litigation to ensure adequate progress.,Judicial Law Clerks
1106,"Enter information into computerized court calendar, filing, or case management systems.",Judicial Law Clerks
1107,"Verify that all files, complaints, or other papers are available and in the proper order.",Judicial Law Clerks
1108,Coordinate judges' meeting and appointment schedules.,Judicial Law Clerks
1115,"Examine documentation such as mortgages, liens, judgments, easements, plat books, maps, contracts, and agreements to verify factors such as properties' legal descriptions, ownership, or restrictions.","Title Examiners, Abstractors, and Searchers"
1116,"Examine individual titles to determine if restrictions, such as delinquent taxes, will affect titles and limit property use.","Title Examiners, Abstractors, and Searchers"
1117,Prepare reports describing any title encumbrances encountered during searching activities and outlining actions needed to clear titles.,"Title Examiners, Abstractors, and Searchers"
1118,"Copy or summarize recorded documents, such as mortgages, trust deeds, and contracts, that affect property titles.","Title Examiners, Abstractors, and Searchers"
1121,Read search requests to ascertain types of title evidence required and to obtain descriptions of properties and names of involved parties.,"Title Examiners, Abstractors, and Searchers"
1122,"Obtain maps or drawings delineating properties from company title plants, county surveyors, or assessors' offices.","Title Examiners, Abstractors, and Searchers"
1124,Retrieve and examine real estate closing files for accuracy and to ensure that information included is recorded and executed according to regulations.,"Title Examiners, Abstractors, and Searchers"
1128,"Summarize pertinent legal or insurance details, or sections of statutes or case law from reference books for use in examinations or as proofs or ready reference.","Title Examiners, Abstractors, and Searchers"
1129,"Evaluate and grade students' class work, assignments, and papers.","Business Teachers, Postsecondary"
1130,"Maintain student attendance records, grades, and other required records.","Business Teachers, Postsecondary"
1131,"Compile, administer, and grade examinations, or assign this work to others.","Business Teachers, Postsecondary"
1132,Maintain regularly scheduled office hours to advise and assist students.,"Business Teachers, Postsecondary"
1134,Advise students on academic and vocational curricula and career issues.,"Business Teachers, Postsecondary"
1135,Develop and maintain course Web sites.,"Business Teachers, Postsecondary"
1136,"Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources.",Librarians and Media Collections Specialists
1137,"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.",Librarians and Media Collections Specialists
1138,"Keep up-to-date records of circulation and materials, maintain inventory, and correct cataloging errors.",Librarians and Media Collections Specialists
1139,"Code, classify, and catalog books, publications, films, audio-visual aids, and other library materials, based on subject matter or standard library classification systems.",Librarians and Media Collections Specialists
1140,"Respond to customer complaints, taking action as necessary.",Librarians and Media Collections Specialists
1141,Locate unusual or unique information in response to specific requests.,Librarians and Media Collections Specialists
1142,"Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, Web pages, electronic pathfinders, software programs, and online tutorials.",Librarians and Media Collections Specialists
1143,"Compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.",Librarians and Media Collections Specialists
1145,"Reserve, circulate, renew, and discharge books and other materials.",Library Technicians
1146,Enter and update patrons' records on computers.,Library Technicians
1147,"Compile and maintain records relating to circulation, materials, and equipment.",Library Technicians
1148,Compile data and create statistical reports on library usage.,Library Technicians
1149,Design posters and special displays to promote use of library facilities or specific reading programs at libraries.,Library Technicians
1150,Issue identification cards to borrowers.,Library Technicians
1151,Review subject matter of materials to be classified and select classification numbers and headings according to classification systems.,Library Technicians
1153,Send out notices about lost or overdue books.,Library Technicians
1156,Claim missing issues of periodicals and journals.,Library Technicians
1157,Compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,Library Technicians
1158,"Formulate basic layout design or presentation approach and specify material details, such as style and size of type, photographs, graphics, animation, video, and sound.",Art Directors
1159,"Manage own accounts and projects, working within budget and scheduling requirements.",Art Directors
1161,"Review and approve art materials, copy materials, and proofs of printed copy developed by staff members.",Art Directors
1162,Create custom illustrations or other graphic elements.,Art Directors
1163,Review illustrative material to determine if it conforms to standards and specifications.,Art Directors
1165,"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing.",Art Directors
