O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,use_computer,use_computer_strict,frequency_category1_value,frequency_category2_value,frequency_category3_value,frequency_category4_value,frequency_category5_value,frequency_category6_value,frequency_category7_value,frequency_category,within_scope,within_scope_output
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,72,08/2018,Incumbent,TRUE,TRUE,4.04,9.46,39.21,20.9,23.71,2.68,0,3,FALSE,No.
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",Supplemental,72,08/2018,Incumbent,FALSE,FALSE,0,21.53,19.07,20.48,18.13,14.08,6.71,2,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Supplemental,72,08/2018,Incumbent,FALSE,FALSE,5.28,36.15,23.84,13.04,14.46,5.8,1.43,2,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,69,08/2018,Incumbent,TRUE,FALSE,4.34,15.25,36.91,10.45,20.62,12.43,0,3,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,72,08/2018,Incumbent,FALSE,FALSE,2.36,23.5,18.69,22.59,16.24,12.29,4.33,2,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,72,08/2018,Incumbent,FALSE,FALSE,5.03,26.3,17.91,27.42,19.24,4.1,0,4,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,72,08/2018,Incumbent,FALSE,FALSE,3.68,26.13,21.52,22.45,9.94,16.28,0,2,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Supplemental,74,08/2018,Incumbent,FALSE,FALSE,18.91,62,6.75,10.87,0,1.47,0,2,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Supplemental,71,08/2018,Incumbent,FALSE,FALSE,13.66,23.42,32.29,14.19,14.11,0,2.33,3,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21217,Analyze marketing or sales trends to forecast future conditions.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21218,Analyze the effectiveness of marketing tactics or channels.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21219,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21220,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21221,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21222,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21223,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21224,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2011.00,Advertising and Promotions Managers,21225,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,117,07/2015,Incumbent,TRUE,TRUE,0.64,16.09,20.94,12.55,29.28,14.28,6.23,5,TRUE,"Yes.
Marketing strategy report detailing objectives, market characteristics, and cost and markup factors."
11-2021.00,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,117,07/2015,Incumbent,TRUE,FALSE,0.73,10.56,18.24,8.28,27.22,25.05,9.92,5,N/A,N/A
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,116,07/2015,Incumbent,TRUE,TRUE,1.26,31.99,21.05,19.58,16.9,8.85,0.37,2,TRUE,"Yes
A detailed financial report outlining budgets, expenditures, R&D appropriations, and ROI/profit-loss projections."
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,117,07/2015,Incumbent,TRUE,FALSE,8.02,19.12,31.31,22.41,18.04,0.69,0.41,3,N/A,N/A
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,116,07/2015,Incumbent,TRUE,TRUE,4.22,18.64,32.85,27.54,9.74,6.61,0.39,3,TRUE,"Yes.
A detailed document or spreadsheet listing the features, benefits, and specifications of products or services."
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,117,07/2015,Incumbent,FALSE,FALSE,22.78,19.76,11.61,10.29,22.09,6.93,6.54,1,N/A,N/A
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",Core,113,07/2015,Incumbent,FALSE,FALSE,14.04,11.23,35.29,14.44,22.44,2.15,0.42,3,N/A,N/A
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,116,07/2015,Incumbent,TRUE,TRUE,10.97,29.43,22.78,17.63,12.99,5.85,0.35,2,TRUE,"Yes.
A detailed sales forecast report or strategic plan document outlining projected sales, profitability, and market trends."
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,115,07/2015,Incumbent,FALSE,FALSE,10.31,50.93,24.1,11.28,3.38,0,0,2,N/A,N/A
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,116,07/2015,Incumbent,FALSE,FALSE,8.37,34.79,29.25,22.58,1.45,3.26,0.31,2,N/A,N/A
11-2021.00,Marketing Managers,963,"Initiate market research studies, or analyze their findings.",Core,116,07/2015,Incumbent,TRUE,TRUE,11.59,45.16,20.43,15,6.37,0.38,1.07,2,TRUE,"Yes.
A comprehensive market research report detailing the findings and insights from the study."
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,115,07/2015,Incumbent,FALSE,FALSE,39.4,33.39,17.41,9.8,0,0,0,1,N/A,N/A
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,116,07/2015,Incumbent,TRUE,FALSE,18.07,25.68,30.98,12.27,11.02,1.5,0.48,3,N/A,N/A
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,116,07/2015,Incumbent,FALSE,FALSE,18.07,25.68,30.98,12.27,11.02,1.5,0.48,3,N/A,N/A
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,Supplemental,116,07/2015,Incumbent,TRUE,TRUE,25.29,43.41,18.04,10.43,1.9,0.46,0.47,2,N/A,N/A
11-2021.00,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Supplemental,116,07/2015,Incumbent,TRUE,FALSE,14.48,36.2,38.96,4.73,5.19,0.44,0,3,N/A,N/A
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,113,07/2015,Incumbent,TRUE,FALSE,15.93,29.01,40.44,7.91,4.28,1.97,0.47,3,N/A,N/A
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,Supplemental,115,07/2015,Incumbent,TRUE,FALSE,31.97,34.68,21.11,11.21,0.62,0,0.4,2,N/A,N/A
11-2021.00,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,Supplemental,115,07/2015,Incumbent,TRUE,TRUE,46.04,37.45,1.98,13.92,0,0.61,0,1,N/A,N/A
11-2021.00,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,116,07/2015,Incumbent,TRUE,TRUE,44.79,29.33,14.54,9.47,1.4,0.47,0,1,N/A,N/A
11-2032.00,Public Relations Managers,21226,"Assign, supervise, and review the activities of public relations staff.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21227,Confer with labor relations managers to develop internal communications that keep employees informed of company activities.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21228,"Design and edit promotional publications, such as brochures.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21229,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21230,"Develop, implement, or maintain crisis communication plans.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21231,"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21232,Draft speeches for company executives and arrange interviews and other forms of contact for them.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21233,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21234,Evaluate advertising and promotion programs for compatibility with public relations efforts.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21235,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21236,"Formulate policies and procedures related to public information programs, working with public relations executives.",,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21237,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21238,Maintain company archives.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21239,Manage communications budgets.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21240,Manage in-house communication courses.,,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21241,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21242,"Observe and report on social, economic, and political trends that might affect employers.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21243,"Produce films and other video products, regulate their distribution, and operate film library.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21244,Respond to requests for information about employers' activities or status.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2032.00,Public Relations Managers,21245,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21246,"Assign, supervise, and review the activities of fundraising staff.",,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21247,Compile or develop materials to submit to granting or other funding organizations.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21248,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21249,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21250,"Design and edit promotional publications, such as brochures.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21251,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21252,Develop strategies to encourage new or increased contributions.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21253,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21254,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21255,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21256,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21257,Formulate policies and procedures related to fundraising programs.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21258,Manage fundraising budgets.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21259,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21260,"Produce films and other video products, regulate their distribution, and operate film library.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2033.00,Fundraising Managers,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,133,07/2017,Incumbent,TRUE,TRUE,8.1,19.64,16,15.94,35.45,3.54,1.31,5,TRUE,"Yes.
Operational reports and schedules are reviewed and prepared to ensure they are accurate and efficient."
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,Core,133,07/2017,Incumbent,TRUE,TRUE,15.34,24.95,21.9,8.62,25.11,1.74,2.33,5,TRUE,"Yes.
A document outlining the specific goals and deadlines for the department."
11-3012.00,Administrative Services Managers,23,"Acquire, distribute and store supplies.",Core,133,07/2017,Incumbent,FALSE,FALSE,6.06,10.34,22.25,26.12,32.91,0.74,1.59,5,N/A,N/A
11-3012.00,Administrative Services Managers,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Core,134,07/2017,Incumbent,TRUE,TRUE,11.83,33.82,20.77,13.24,17.17,3.15,0.03,2,TRUE,"Yes.
A report detailing the recommended procedural or policy changes to improve operations."
11-3012.00,Administrative Services Managers,30,Conduct classes to teach procedures to staff.,Core,134,07/2017,Incumbent,FALSE,FALSE,26.98,48.59,21.23,0.45,2.74,0,0,2,N/A,N/A
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,133,07/2017,Incumbent,TRUE,TRUE,5.22,21.83,16.67,12.28,35.15,2.06,6.8,5,N/A,N/A
11-3012.00,Administrative Services Managers,26,Hire and terminate clerical and administrative personnel.,Supplemental,133,07/2017,Incumbent,FALSE,FALSE,50.82,36.24,5.24,0.85,4.8,0,2.04,1,N/A,N/A
11-3012.00,Administrative Services Managers,19,"Direct or coordinate the supportive services department of a business, agency, or organization.",Supplemental,133,07/2017,Incumbent,FALSE,FALSE,4.44,8.95,9.29,6.61,47.35,14.02,9.34,5,N/A,N/A
11-3012.00,Administrative Services Managers,21262,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21263,Develop operational standards and procedures for the work unit or department.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21264,Establish work procedures or schedules to organize the daily work of administrative staff.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21265,Learn to operate new office technologies as they are developed and implemented.,,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21266,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21267,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21268,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21269,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21270,Represent work unit at meetings or conferences and serve as liaison for requests or complaints.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3012.00,Administrative Services Managers,21271,Supervise administrative staff and provide training and orientation to new staff.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21283,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21284,Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21285,"Attend meetings, professional seminars, or conferences to keep abreast of changes in executive legislative directives or new technologies impacting security operations.",,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21286,"Communicate security status, updates, and actual or potential problems, using established protocols.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21287,Conduct physical examinations of property to ensure compliance with security policies and regulations.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21288,"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21289,"Coordinate security operations or activities with public law enforcement, fire and other agencies.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21290,"Create or implement security standards, policies, and procedures.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21291,Develop budgets for security operations.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21292,"Develop or manage investigation programs, including collection and preservation of video and notes of surveillance processes or investigative interviews.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21293,"Develop, arrange for, perform, or assess executive protection activities to reduce security risks.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21294,"Develop, conduct, support, or assist in governmental reviews, internal corporate evaluations, or assessments of the overall effectiveness of facility and personnel security processes.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-3013.01,Security Managers,21295,"Develop, implement, manage, or evaluate policies and methods to protect personnel against harassment, threats, or violence.",,,11/2020,Analyst,TRUE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
